Time	Agent	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.9076418876647949	0	0	19.091602	8.483887	59.0	8.0	19.091603053435115	8.48388718130014	5002	5002
1.809041976928711	0	1	32.55195	18.761332	124.0	10.0	32.55194805194805	18.76133153963648	5013	10015
2.6490230560302734	0	2	43.232758	21.575191	98.0	12.0	43.23275862068966	21.575192394803125	5015	15030
3.5063610076904297	0	3	49.372547	21.729136	116.0	16.0	49.372549019607845	21.729135391797072	5036	20066
4.492917776107788	0	4	59.835293	27.031506	187.0	21.0	59.83529411764706	27.031505391617095	5086	25152
1.0181951522827148	1	0	22.150442	10.820924	78.0	9.0	22.150442477876105	10.820924697484873	5006	5006
1.95684814453125	1	1	32.050957	16.557869	97.0	10.0	32.05095541401274	16.557868481218353	5032	10038
2.80153226852417	1	2	43.232758	18.708912	104.0	13.0	43.23275862068966	18.708912572124312	5015	15053
3.650419235229492	1	3	51.530613	21.550703	156.0	17.0	51.53061224489796	21.55070152825309	5050	20103
4.495772123336792	1	4	62.11111	25.115536	150.0	25.0	62.111111111111114	25.115535500100133	5031	25134
0.8912420272827148	2	0	24.512196	11.530493	81.0	8.0	24.51219512195122	11.530493931458045	5025	5025
1.7333941459655762	2	1	33.81081	18.470703	121.0	10.0	33.810810810810814	18.47070410551251	5004	10029
2.5747809410095215	2	2	44.37168	19.946918	112.0	14.0	44.3716814159292	19.946918359488443	5014	15043
3.4308230876922607	2	3	51.408165	21.881796	127.0	20.0	51.40816326530612	21.88179596343932	5038	20081
4.282263994216919	2	4	59.54762	26.70759	180.0	24.0	59.54761904761905	26.707589772832797	5002	25083
0.8445999622344971	0	5	32.341934	19.27875	114.0	9.0	32.34193548387097	19.278749360346573	5013	5013
1.6930317878723145	0	6	34.52414	23.687355	153.0	10.0	34.52413793103448	23.687355206325382	5006	10019
2.54459285736084	0	7	37.081482	22.04509	123.0	9.0	37.08148148148148	22.045089098499197	5006	15025
3.3948919773101807	0	8	42.285713	28.259047	190.0	10.0	42.285714285714285	28.259048631045818	5032	20057
4.240725994110107	0	9	46.091743	26.975197	166.0	12.0	46.091743119266056	26.97519801541241	5024	25081
0.8444149494171143	1	5	31.080746	19.866941	118.0	8.0	31.080745341614907	19.86694097096593	5004	5004
1.697314977645874	1	6	34.62069	20.406242	143.0	11.0	34.62068965517241	20.406242778913565	5020	10024
2.548919916152954	1	7	35.02098	22.467527	120.0	10.0	35.02097902097902	22.46752700389806	5008	15032
3.4085988998413086	1	8	40.682926	22.35134	115.0	11.0	40.68292682926829	22.351339812943436	5004	20036
4.266744136810303	1	9	48.971153	26.757624	156.0	13.0	48.97115384615385	26.757621750551042	5093	25129
0.8481838703155518	2	5	30.73006	19.142366	96.0	10.0	30.73006134969325	19.142366640771804	5009	5009
1.7116971015930176	2	6	36.230217	22.655481	153.0	11.0	36.23021582733813	22.65547928603668	5036	10045
2.567246913909912	2	7	37.419117	20.47436	126.0	11.0	37.419117647058826	20.474358119314118	5089	15134
3.4269979000091553	2	8	39.779526	22.878284	131.0	10.0	39.77952755905512	22.878285749415703	5052	20186
4.281114101409912	2	9	54.652172	34.100056	174.0	11.0	54.65217391304348	34.10005571288599	5028	25214
0.8548829555511475	0	10	53.242104	30.915066	200.0	15.0	53.242105263157896	30.91506728185386	5058	5058
1.7172820568084717	0	11	61.864197	34.618465	200.0	12.0	61.864197530864196	34.61846830541226	5011	10069
2.5675740242004395	0	12	69.97222	36.874397	200.0	14.0	69.97222222222223	36.87440102045434	5038	15107
3.4206490516662598	0	13	70.486115	41.79314	200.0	21.0	70.48611111111111	41.79313907527684	5075	20182
4.2740020751953125	0	14	82.42623	38.82388	193.0	22.0	82.42622950819673	38.82388103013927	5028	25210
0.8489289283752441	1	10	50.808083	27.21396	184.0	9.0	50.80808080808081	27.213958379113773	5030	5030
1.7073960304260254	1	11	71.098595	31.682472	183.0	23.0	71.09859154929578	31.682471685472606	5048	10078
2.5594348907470703	1	12	65.27273	30.771315	188.0	19.0	65.27272727272727	30.77131248066554	5026	15104
3.4206809997558594	1	13	85.15	49.711777	200.0	21.0	85.15	49.711777611883214	5109	20213
4.316740036010742	1	14	84.666664	40.554768	200.0	10.0	84.66666666666667	40.55476407142432	5080	25293
0.8684139251708984	2	10	55.666668	32.36253	165.0	11.0	55.666666666666664	32.36252977338658	5010	5010
1.7352728843688965	2	11	64.544304	33.293785	194.0	20.0	64.54430379746836	33.293781480552724	5099	10109
2.598177909851074	2	12	70.054794	38.710335	200.0	18.0	70.05479452054794	38.71033645223778	5114	15223
3.473810911178589	2	13	98.36539	49.070602	200.0	16.0	98.36538461538461	49.07060409644997	5115	20338
4.328299045562744	2	14	126.0	47.86648	200.0	35.0	126.0	47.86648096528509	5040	25378
0.861004114151001	0	15	121.57143	49.365566	200.0	30.0	121.57142857142857	49.36556678164923	5106	5106
1.723952293395996	0	16	141.25	44.14583	200.0	37.0	141.25	44.145828417492254	5085	10191
2.583505153656006	0	17	152.60606	41.7931	200.0	27.0	152.6060606060606	41.793097439315076	5036	15227
3.4427173137664795	0	18	165.2258	40.83698	200.0	71.0	165.2258064516129	40.83697698000875	5122	20349
4.3085103034973145	0	19	171.6	39.736294	200.0	77.0	171.6	39.73629742858955	5148	25497
0.84250807762146	1	15	105.375	46.923973	200.0	26.0	105.375	46.92397441607009	5058	5058
1.7027840614318848	1	16	149.61765	49.292057	200.0	44.0	149.61764705882354	49.29205562161964	5087	10145
