Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.6084370613098145	0	14.955224	7.7487273	63.0	9.0	14.955223880597014	7.7487270708506815	1002	1002
0.9933531284332275	1	16.42623	6.9505486	41.0	9.0	16.42622950819672	6.950549020403416	1002	2004
1.3263120651245117	2	27.108109	16.109062	76.0	10.0	27.10810810810811	16.109060374536895	1003	3007
1.5896620750427246	3	56.88889	32.998127	158.0	14.0	56.888888888888886	32.998129389555956	1024	4031
1.8078820705413818	4	105.2	53.29128	200.0	25.0	105.2	53.291275083262924	1052	5083
2.1428160667419434	5	128.22223	64.63019	200.0	33.0	128.22222222222223	64.63019208075326	1154	6237
2.594278335571289	6	131.25	49.19794	200.0	36.0	131.25	49.197942030129674	1050	7287
2.9392452239990234	7	119.22222	22.919073	161.0	94.0	119.22222222222223	22.919073947637674	1073	8360
3.1602060794830322	8	123.55556	33.671986	200.0	80.0	123.55555555555556	33.671983445229394	1112	9472
3.3818562030792236	9	124.44444	35.295925	200.0	77.0	124.44444444444444	35.29592708990376	1120	10592
3.611171245574951	10	125.888885	45.957573	200.0	65.0	125.88888888888889	45.95757571317376	1133	11725
3.822482109069824	11	104.0	33.117973	176.0	56.0	104.0	33.117970952339455	1040	12765
4.036763906478882	12	101.7	28.754305	168.0	60.0	101.7	28.75430402565849	1017	13782
4.249694108963013	13	99.09091	12.354275	121.0	83.0	99.0909090909091	12.354274530443044	1090	14872
4.45622706413269	14	96.72727	21.1148	135.0	64.0	96.72727272727273	21.114798382740993	1064	15936
4.676171064376831	15	104.1	23.993542	154.0	73.0	104.1	23.993540797472974	1041	16977
4.8841233253479	16	105.6	19.10602	145.0	80.0	105.6	19.10601999370879	1056	18033
5.08561110496521	17	102.7	20.42572	140.0	68.0	102.7	20.425719081589268	1027	19060
5.2897491455078125	18	116.44444	38.32351	200.0	72.0	116.44444444444444	38.32350920811782	1048	20108
5.502166032791138	19	128.625	26.748539	174.0	89.0	128.625	26.7485396797657	1029	21137
5.724289178848267	20	143.0	38.52921	200.0	101.0	143.0	38.52920969861697	1144	22281
5.938352346420288	21	152.57143	24.31259	200.0	113.0	152.57142857142858	24.312590170862638	1068	23349
6.15949010848999	22	163.42857	20.437061	200.0	142.0	163.42857142857142	20.43706117297091	1144	24493
6.383949279785156	23	195.5	6.5255904	200.0	184.0	195.5	6.525590650150631	1173	25666
6.614185094833374	24	199.5	1.118034	200.0	197.0	199.5	1.118033988749895	1197	26863
6.842624187469482	25	194.66667	7.630349	200.0	182.0	194.66666666666666	7.630348761506398	1168	28031
7.07364821434021	26	195.83333	9.31695	200.0	175.0	195.83333333333334	9.316949906249123	1175	29206
7.300405025482178	27	194.33333	9.249625	200.0	175.0	194.33333333333334	9.249624617007738	1166	30372
7.535267114639282	28	196.83333	5.7855186	200.0	184.0	196.83333333333334	5.785518319236594	1181	31553
7.76143217086792	29	194.0	7.637626	200.0	181.0	194.0	7.637626158259733	1164	32717
7.967457056045532	30	169.0	14.224392	186.0	151.0	169.0	14.224392195567912	1014	33731
8.178348064422607	31	175.16667	11.991896	192.0	158.0	175.16666666666666	11.991895411299899	1051	34782
8.388320207595825	32	174.5	12.932517	197.0	161.0	174.5	12.932517156377562	1047	35829
8.593881130218506	33	175.33333	18.953157	200.0	146.0	175.33333333333334	18.953158634439333	1052	36881
8.805855989456177	34	179.16667	6.6687493	191.0	171.0	179.16666666666666	6.6687496745808525	1075	37956
9.032559156417847	35	176.66667	14.974051	200.0	159.0	176.66666666666666	14.974051630144135	1060	39016
9.25453805923462	36	189.66667	7.760298	200.0	179.0	189.66666666666666	7.760297817881877	1138	40154
9.473596096038818	37	189.83333	9.956852	200.0	171.0	189.83333333333334	9.956851354162563	1139	41293
9.700189113616943	38	194.33333	6.6499796	200.0	182.0	194.33333333333334	6.649979114420001	1166	42459
9.930370092391968	39	194.33333	7.3409057	200.0	180.0	194.33333333333334	7.340905181848414	1166	43625
10.156264066696167	40	188.83333	5.9837747	199.0	179.0	188.83333333333334	5.983774357005413	1133	44758
10.369182109832764	41	181.33333	3.6362371	187.0	176.0	181.33333333333334	3.636237371545238	1088	45846
10.567687034606934	42	172.83333	6.0392237	179.0	161.0	172.83333333333334	6.039223643997813	1037	46883
10.773502111434937	43	175.83333	17.305265	200.0	156.0	175.83333333333334	17.305265736827685	1055	47938
10.980404138565063	44	171.0	17.0	199.0	148.0	171.0	17.0	1026	48964
11.197559118270874	45	163.0	10.11364	174.0	148.0	163.0	10.113640011673063	1141	50105
11.40934419631958	46	153.85715	12.94415	174.0	138.0	153.85714285714286	12.944150045799192	1077	51182
11.626687049865723	47	135.875	15.152867	156.0	112.0	135.875	15.152866890460036	1087	52269
11.833307981491089	48	126.125	14.417329	149.0	103.0	126.125	14.41732898285948	1009	53278
12.064113140106201	49	122.666664	11.125546	141.0	108.0	122.66666666666667	11.125546178852423	1104	54382
12.275398254394531	50	105.7	10.770794	121.0	86.0	105.7	10.770793842609745	1057	55439
12.478220224380493	51	94.818184	14.831283	123.0	70.0	94.81818181818181	14.831282552387718	1043	56482
12.67669415473938	52	86.0	23.295208	113.0	13.0	86.0	23.295206946208197	1032	57514
