Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
19.22756600379944	0	-185.93353	49.60463	-80.310074	-330.03723	151.0	0.0	30049	30049
37.873942136764526	1	-111.403786	39.710987	-18.561317	-238.32779	151.0	0.0	30049	60098
54.57901191711426	2	-90.70651	36.562557	2.6067266	-225.38408	151.0	0.0	30049	90147
69.68464303016663	3	-77.53808	30.845915	-10.751553	-155.28358	151.0	0.0	30049	120196
85.65968489646912	4	-78.24787	32.10046	9.821333	-181.29922	151.0	0.0	30049	150245
101.26377201080322	5	-72.05024	30.862698	14.80792	-174.77017	151.0	0.0	30049	180294
118.12078404426575	6	-66.02907	27.716202	14.014132	-161.69464	151.0	0.0	30049	210343
135.31999707221985	7	-59.505623	30.4899	10.815174	-159.27751	151.0	0.0	30049	240392
151.63757610321045	8	-58.69441	32.148182	28.21	-171.66599	151.0	0.0	30049	270441
166.44183683395386	9	-49.82685	27.571178	7.9015913	-145.98376	151.0	0.0	30049	300490
181.03185296058655	10	-49.413277	30.495214	30.70664	-164.94482	151.0	0.0	30049	330539
195.66200613975525	11	-43.19769	24.2364	16.50745	-150.21033	151.0	0.0	30049	360588
210.28987097740173	12	-43.061638	25.397127	23.045488	-123.906	151.0	0.0	30049	390637
224.77869081497192	13	-39.118256	24.7246	47.18376	-135.07219	151.0	0.0	30049	420686
239.56945490837097	14	-37.72704	21.999943	14.732075	-121.249596	151.0	0.0	30049	450735
256.7971532344818	15	-33.784336	19.610104	16.852274	-88.82243	151.0	0.0	30049	480784
271.61880803108215	16	-33.540123	20.059618	13.3316555	-111.28323	151.0	0.0	30049	510833
286.28946900367737	17	-29.929724	21.57897	16.182207	-145.50616	151.0	0.0	30049	540882
301.0298099517822	18	-30.432423	20.84906	12.402744	-98.57359	151.0	0.0	30049	570931
315.94455790519714	19	-27.351925	19.071949	19.624626	-84.9842	151.0	0.0	30049	600980
331.07913398742676	20	-26.424196	16.997911	12.955062	-88.630806	151.0	0.0	30049	631029
345.8253390789032	21	-24.235058	18.323534	19.661766	-107.76477	151.0	0.0	30049	661078
360.3207530975342	22	-22.059134	17.617374	22.59542	-75.80658	151.0	0.0	30049	691127
374.859139919281	23	-15.006589	17.371044	28.34534	-81.21804	151.0	0.0	30049	721176
389.553750038147	24	-14.162612	16.746857	35.193275	-68.127625	151.0	0.0	30049	751225
404.58574080467224	25	-10.392004	16.055977	34.98101	-66.75351	151.0	0.0	30049	781274
