Time	CommunicationRound	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.710975170135498	0	9	104.0	0.0	104.0	104.0	104.0	0.0	104	1241
0.14032578468322754	0	0	18.166666	8.214148	33.0	9.0	18.166666666666668	8.214147686901072	109	109
0.20240283012390137	0	1	13.25	3.112475	19.0	9.0	13.25	3.112474899497183	106	215
0.2659578323364258	0	2	16.0	6.5027466	30.0	10.0	16.0	6.502746672423452	112	327
0.3292117118835449	0	3	15.142858	5.276053	25.0	10.0	15.142857142857142	5.276052946462682	106	433
0.39556360244750977	0	4	12.875	3.887078	20.0	9.0	12.875	3.887077951366553	103	536
0.45477890968322754	0	5	12.75	1.8540496	17.0	11.0	12.75	1.8540496217739157	102	638
0.515575647354126	0	6	14.571428	3.8861341	23.0	10.0	14.571428571428571	3.8861344310672696	102	740
0.580286979675293	0	7	14.857142	2.6954231	18.0	9.0	14.857142857142858	2.695423180587601	104	844
0.6566598415374756	0	8	17.0	8.211491	36.0	10.0	17.0	8.211490207542807	119	963
0.726686954498291	0	9	21.166666	11.186549	44.0	11.0	21.166666666666668	11.186549463033224	127	1090
0.1478409767150879	0	0	16.833334	7.819136	34.0	11.0	16.833333333333332	7.819136070493267	101	101
0.20868587493896484	0	1	26.75	16.467772	55.0	15.0	26.75	16.467771555374455	107	208
0.2764120101928711	0	2	26.5	2.6925824	30.0	23.0	26.5	2.692582403567252	106	314
0.3534538745880127	0	3	36.5	9.096703	51.0	27.0	36.5	9.096702699330127	146	460
0.4166569709777832	0	4	38.333332	16.006943	59.0	20.0	38.333333333333336	16.006942938057293	115	575
0.4848620891571045	0	5	35.0	10.801234	45.0	20.0	35.0	10.801234497346433	105	680
0.5567278861999512	0	6	50.333332	19.36205	70.0	24.0	50.333333333333336	19.362047641943477	151	831
0.6373782157897949	0	7	39.0	12.961481	59.0	23.0	39.0	12.96148139681572	156	987
0.7013180255889893	0	8	27.0	4.9497476	35.0	22.0	27.0	4.949747468305833	108	1095
0.7740399837493896	0	9	28.5	6.837397	40.0	22.0	28.5	6.837397165588672	114	1209
0.16534709930419922	0	0	18.833334	6.6687493	31.0	12.0	18.833333333333332	6.6687496745808525	113	113
0.23451685905456543	0	1	43.666668	18.696405	62.0	18.0	43.666666666666664	18.696404883173543	131	244
0.30019593238830566	0	2	42.0	20.066555	70.0	24.0	42.0	20.06655592438988	126	370
0.3678770065307617	0	3	53.5	5.5	59.0	48.0	53.5	5.5	107	477
0.43384218215942383	0	4	56.5	4.5	61.0	52.0	56.5	4.5	113	590
0.4964599609375	0	5	109.0	0.0	109.0	109.0	109.0	0.0	109	699
0.5791349411010742	0	6	162.0	0.0	162.0	162.0	162.0	0.0	162	861
0.6392979621887207	0	7	51.0	2.0	53.0	49.0	51.0	2.0	102	963
0.7095990180969238	0	8	78.5	1.5	80.0	77.0	78.5	1.5	157	1120
0.7794060707092285	0	9	58.0	20.0	78.0	38.0	58.0	20.0	116	1236
0.12463092803955078	0	0	17.166666	5.3670807	27.0	11.0	17.166666666666668	5.367080729368206	103	103
0.19435787200927734	0	1	37.666668	6.847546	43.0	28.0	37.666666666666664	6.847546194724712	113	216
0.2655680179595947	0	2	56.5	6.5	63.0	50.0	56.5	6.5	113	329
0.3329498767852783	0	3	39.666668	3.7712362	45.0	37.0	39.666666666666664	3.7712361663282534	119	448
0.3947329521179199	0	4	34.666668	12.814921	47.0	17.0	34.666666666666664	12.814921857827391	104	552
0.46986889839172363	0	5	62.5	14.5	77.0	48.0	62.5	14.5	125	677
0.535944938659668	0	6	120.0	0.0	120.0	120.0	120.0	0.0	120	797
0.6056151390075684	0	7	38.0	13.490738	49.0	19.0	38.0	13.490737563232042	114	911
0.6790368556976318	0	8	64.5	1.5	66.0	63.0	64.5	1.5	129	1040
0.7512800693511963	0	9	49.0	4.9665546	53.0	42.0	49.0	4.96655480858378	147	1187
0.07432103157043457	1	0	20.333334	9.3749075	33.0	11.0	20.333333333333332	9.374907406950156	122	122
0.14258098602294922	1	1	15.857142	4.611432	24.0	10.0	15.857142857142858	4.611432111876849	111	233
0.202301025390625	1	2	22.4	15.265648	50.0	10.0	22.4	15.265647709809107	112	345
0.274569034576416	1	3	22.833334	10.204846	42.0	12.0	22.833333333333332	10.204846343227754	137	482
0.3468301296234131	1	4	19.333334	4.818944	29.0	15.0	19.333333333333332	4.818944098266987	116	598
0.40903806686401367	1	5	22.6	8.8	38.0	14.0	22.6	8.8	113	711
0.480910062789917	1	6	19.5	5.9651766	26.0	11.0	19.5	5.9651767227244274	117	828
0.5489962100982666	1	7	16.142857	3.6811712	22.0	10.0	16.142857142857142	3.6811710647786073	113	941
0.6217770576477051	1	8	34.75	10.848387	50.0	24.0	34.75	10.848386976873567	139	1080
0.6929900646209717	1	9	15.857142	3.3986793	21.0	11.0	15.857142857142858	3.398679215248663	111	1191
0.07776594161987305	1	0	42.333332	8.956686	51.0	30.0	42.333333333333336	8.956685895029603	127	127
0.1430339813232422	1	1	39.0	10.677078	54.0	30.0	39.0	10.677078252031311	117	244
0.21631383895874023	1	2	40.0	18.402899	66.0	26.0	40.0	18.40289832245635	120	364
0.28194212913513184	1	3	34.0	9.933109	48.0	26.0	34.0	9.93310961716756	102	466
0.3460679054260254	1	4	35.666668	9.977753	49.0	25.0	35.666666666666664	9.977753031397176	107	573
0.4266691207885742	1	5	47.333332	20.154955	68.0	20.0	47.333333333333336	20.154955277107966	142	715
0.4932370185852051	1	6	37.0	11.575837	53.0	26.0	37.0	11.575836902790225	111	826
0.5651979446411133	1	7	31.75	8.287792	41.0	23.0	31.75	8.287792227125388	127	953
0.638063907623291	1	8	44.0	11.518102	57.0	29.0	44.0	11.51810169544733	132	1085
0.7146801948547363	1	9	61.5	20.5	82.0	41.0	61.5	20.5	123	1208
0.08720088005065918	1	0	81.0	18.0	99.0	63.0	81.0	18.0	162	162
0.15942120552062988	1	1	63.0	3.0	66.0	60.0	63.0	3.0	126	288
0.23425698280334473	1	2	65.5	7.5	73.0	58.0	65.5	7.5	131	419
0.30616211891174316	1	3	80.5	27.5	108.0	53.0	80.5	27.5	161	580
0.38805103302001953	1	4	75.5	0.5	76.0	75.0	75.5	0.5	151	731
0.4698970317840576	1	5	76.0	30.0	106.0	46.0	76.0	30.0	152	883
0.5435359477996826	1	6	82.5	31.5	114.0	51.0	82.5	31.5	165	1048
0.602323055267334	1	7	104.0	0.0	104.0	104.0	104.0	0.0	104	1152
0.6812090873718262	1	8	68.5	13.5	82.0	55.0	68.5	13.5	137	1289
0.7505178451538086	1	9	63.0	23.0	86.0	40.0	63.0	23.0	126	1415
0.08009004592895508	1	0	45.333332	6.847546	55.0	40.0	45.333333333333336	6.847546194724712	136	136
0.13590598106384277	1	1	51.0	5.0	56.0	46.0	51.0	5.0	102	238
0.202254056930542	1	2	31.0	7.648529	44.0	25.0	31.0	7.648529270389178	124	362
0.27547430992126465	1	3	51.666668	7.4087033	62.0	45.0	51.666666666666664	7.408703590297623	155	517
0.34361815452575684	1	4	51.666668	10.274024	65.0	40.0	51.666666666666664	10.274023338281626	155	672
0.40350794792175293	1	5	54.5	11.5	66.0	43.0	54.5	11.5	109	781
0.4684159755706787	1	6	42.666668	10.077478	53.0	29.0	42.666666666666664	10.077477638553983	128	909
0.5288829803466797	1	7	35.666668	6.5996633	43.0	27.0	35.666666666666664	6.599663291074444	107	1016
0.5933308601379395	1	8	66.5	10.5	77.0	56.0	66.5	10.5	133	1149
0.6598472595214844	1	9	47.333332	20.981474	77.0	32.0	47.333333333333336	20.98147330914162	142	1291
0.06590104103088379	1	0	9.909091	0.99585927	12.0	8.0	9.909090909090908	0.9958591954639383	109	109
0.11858105659484863	1	1	10.1	1.2206556	13.0	9.0	10.1	1.2206555615733703	101	210
0.18101096153259277	1	2	10.0	1.3483998	13.0	8.0	10.0	1.348399724926484	110	320
0.2431349754333496	1	3	9.545455	1.304791	13.0	8.0	9.545454545454545	1.304790917673393	105	425
0.3022010326385498	1	4	9.727273	0.9620913	12.0	8.0	9.727272727272727	0.9620913858416692	107	532
0.6364281177520752	1	5	10.5	0.92195445	12.0	9.0	10.5	0.9219544457292888	105	637
0.7047431468963623	1	6	10.2	0.8717798	12.0	9.0	10.2	0.8717797887081347	102	739
0.7686190605163574	1	7	9.545455	0.8907236	11.0	8.0	9.545454545454545	0.8907235428302467	105	844
0.826383113861084	1	8	10.5	1.2041595	12.0	8.0	10.5	1.2041594578792296	105	949
0.8916001319885254	1	9	9.454545	1.0756509	12.0	8.0	9.454545454545455	1.0756508696544758	104	1053
0.07897496223449707	1	0	68.5	18.5	87.0	50.0	68.5	18.5	137	137
0.14634013175964355	1	1	46.333332	16.048536	69.0	34.0	46.333333333333336	16.048537489614297	139	276
0.21661376953125	1	2	67.5	31.5	99.0	36.0	67.5	31.5	135	411
0.2790210247039795	1	3	58.0	10.0	68.0	48.0	58.0	10.0	116	527
